date,redfin,zillow
2022-08-23T23:31:41.701591+00:00,NaN,NaN
2022-08-24T05:45:11.742901+00:00,NaN,NaN
2022-08-25T05:55:41.202637+00:00,NaN,NaN
2022-08-26T06:00:05.872094+00:00,NaN,NaN
